com.samsung.shealth.tracker.pedometer_day_summary,6123001,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
8230,6f6f4036-19bb-4e65-b4fd-7ca16ebf91b0.binning_data.json,4170840,6000,1750,2019-02-06 15:33:00.146,com.sec.android.app.shealth,2019-02-06 03:50:26.531,6f6f4036-19bb-4e65-b4fd-7ca16ebf91b0.source_info.json,1.6950278,7069.69,436.53998,6480,VfS0qUERdZ,com.sec.android.app.shealth,0,6f6f4036-19bb-4e65-b4fd-7ca16ebf91b0.achievement.json,6f6f4036-19bb-4e65-b4fd-7ca16ebf91b0,1549411200000,
6757,eb8ffd4e-f267-4f02-ab17-5384a6ccfdd2.binning_data.json,4121319,6000,0,2019-02-09 07:50:58.161,com.sec.android.app.shealth,2019-02-08 16:24:46.433,eb8ffd4e-f267-4f02-ab17-5384a6ccfdd2.source_info.json,1.2199103,5027.64,275.09,6757,VfS0qUERdZ,com.sec.android.app.shealth,0,eb8ffd4e-f267-4f02-ab17-5384a6ccfdd2.achievement.json,eb8ffd4e-f267-4f02-ab17-5384a6ccfdd2,1549670400000,
3898,e7879428-ca4c-45e9-86f5-66d179ee3d46.binning_data.json,2153417,6000,69,2019-02-12 15:52:32.694,com.sec.android.app.shealth,2019-02-11 16:14:29.587,e7879428-ca4c-45e9-86f5-66d179ee3d46.source_info.json,1.3896329,2992.46,166.17,3829,VfS0qUERdZ,com.sec.android.app.shealth,0,e7879428-ca4c-45e9-86f5-66d179ee3d46.achievement.json,e7879428-ca4c-45e9-86f5-66d179ee3d46,1549929600000,
4968,b1485c91-73b9-40c8-828c-bd3bfe03cb31.binning_data.json,2673448,6000,87,2019-02-16 16:00:00.806,com.sec.android.app.shealth,2019-02-14 18:57:18.120,b1485c91-73b9-40c8-828c-bd3bfe03cb31.source_info.json,1.4337664,3833.1,210.16,4881,VfS0qUERdZ,com.sec.android.app.shealth,0,b1485c91-73b9-40c8-828c-bd3bfe03cb31.achievement.json,b1485c91-73b9-40c8-828c-bd3bfe03cb31,1550188800000,
16035,ea31728e-4342-432d-b4d4-d026c549f237.binning_data.json,8837059,6000,0,2019-02-19 01:06:14.531,com.sec.android.app.shealth,2019-02-17 15:14:37.430,ea31728e-4342-432d-b4d4-d026c549f237.source_info.json,1.3407799,11848.551,644.56995,16035,VfS0qUERdZ,com.sec.android.app.shealth,0,ea31728e-4342-432d-b4d4-d026c549f237.achievement.json,ea31728e-4342-432d-b4d4-d026c549f237,1550448000000,
20547,9ab949e9-a3d2-4ca5-99a4-8df2065a054c.binning_data.json,11812642,6000,13,2019-02-21 02:45:38.184,com.sec.android.app.shealth,2019-02-19 15:47:04.020,9ab949e9-a3d2-4ca5-99a4-8df2065a054c.source_info.json,1.2867539,15199.965,822.37994,20534,VfS0qUERdZ,com.sec.android.app.shealth,0,9ab949e9-a3d2-4ca5-99a4-8df2065a054c.achievement.json,9ab949e9-a3d2-4ca5-99a4-8df2065a054c,1550620800000,
13165,bb42015f-4b22-4d9e-be46-47fbce4eb0e5.binning_data.json,7024831,6000,195,2019-02-22 13:52:55.321,com.sec.android.app.shealth,2019-02-21 13:03:43.803,bb42015f-4b22-4d9e-be46-47fbce4eb0e5.source_info.json,1.4316742,10057.27,558.38995,12970,VfS0qUERdZ,com.sec.android.app.shealth,0,bb42015f-4b22-4d9e-be46-47fbce4eb0e5.achievement.json,bb42015f-4b22-4d9e-be46-47fbce4eb0e5,1550793600000,
8548,182a9068-b5bf-4bd6-ab12-076ce7667adc.binning_data.json,4810515,6000,4,2019-02-25 12:33:01.355,com.sec.android.app.shealth,2019-02-25 01:10:56.403,182a9068-b5bf-4bd6-ab12-076ce7667adc.source_info.json,1.3392806,6442.63,350.05997,8544,VfS0qUERdZ,com.sec.android.app.shealth,0,182a9068-b5bf-4bd6-ab12-076ce7667adc.achievement.json,182a9068-b5bf-4bd6-ab12-076ce7667adc,1551052800000,
4278,19359915-744f-482c-81f2-527000da5ab5.binning_data.json,2274240,6000,4,2019-02-28 11:14:14.062,com.sec.android.app.shealth,2019-02-28 04:36:00.996,19359915-744f-482c-81f2-527000da5ab5.source_info.json,1.436906,3267.87,174.56998,4274,VfS0qUERdZ,com.sec.android.app.shealth,0,19359915-744f-482c-81f2-527000da5ab5.achievement.json,19359915-744f-482c-81f2-527000da5ab5,1551312000000,
15150,a5751cf1-a6b4-497f-9a6b-df93947d0f82.binning_data.json,8266326,6000,0,2019-03-03 11:22:39.862,com.sec.android.app.shealth,2019-03-02 13:02:01.246,a5751cf1-a6b4-497f-9a6b-df93947d0f82.source_info.json,1.3990095,11564.67,615.63995,15150,VfS0qUERdZ,com.sec.android.app.shealth,0,a5751cf1-a6b4-497f-9a6b-df93947d0f82.achievement.json,a5751cf1-a6b4-497f-9a6b-df93947d0f82,1551571200000,
11647,c06c60e3-846e-4891-829d-fa1461e01e28.binning_data.json,6319177,6000,28,2019-03-06 12:10:52.845,com.sec.android.app.shealth,2019-03-05 15:20:02.286,c06c60e3-846e-4891-829d-fa1461e01e28.source_info.json,1.407009,8891.14,476.36996,11619,VfS0qUERdZ,com.sec.android.app.shealth,0,c06c60e3-846e-4891-829d-fa1461e01e28.achievement.json,c06c60e3-846e-4891-829d-fa1461e01e28,1551830400000,
9409,935358c9-90ee-49d8-be59-b215d91605a6.binning_data.json,5005720,6000,0,2019-03-09 13:07:16.141,com.sec.android.app.shealth,2019-03-08 14:05:46.221,935358c9-90ee-49d8-be59-b215d91605a6.source_info.json,1.4117332,7066.7417,381.95996,9409,VfS0qUERdZ,com.sec.android.app.shealth,0,935358c9-90ee-49d8-be59-b215d91605a6.achievement.json,935358c9-90ee-49d8-be59-b215d91605a6,1552089600000,
8230,5092242b-8d0a-490d-b4d3-1c167ca20899.binning_data.json,4170783,6000,1750,2019-02-06 16:00:00.345,com.sec.android.app.shealth,2019-02-06 16:00:00.345,,4.3333335,7069.69,436.53998,6480,NakFKIhnVg,com.sec.android.app.shealth,4449,5092242b-8d0a-490d-b4d3-1c167ca20899.achievement.json,5092242b-8d0a-490d-b4d3-1c167ca20899,1549411200000,
