Start,Finish,Steps (count)
07-Dec-2014 09:00,07-Dec-2014 10:00,941.0
07-Dec-2014 10:00,07-Dec-2014 11:00,408.0
07-Dec-2014 11:00,07-Dec-2014 12:00,157.0
07-Dec-2014 12:00,07-Dec-2014 13:00,1017.0
07-Dec-2014 13:00,07-Dec-2014 14:00,0.0
07-Dec-2014 14:00,07-Dec-2014 15:00,0.0
07-Dec-2014 15:00,07-Dec-2014 16:00,137.0
07-Dec-2014 16:00,07-Dec-2014 17:00,0.0
07-Dec-2014 17:00,07-Dec-2014 18:00,33.0
07-Dec-2014 18:00,07-Dec-2014 19:00,0.0
07-Dec-2014 19:00,07-Dec-2014 20:00,0.0
07-Dec-2014 20:00,07-Dec-2014 21:00,0.0
07-Dec-2014 21:00,07-Dec-2014 22:00,0.0
07-Dec-2014 22:00,07-Dec-2014 23:00,0.0
07-Dec-2014 23:00,08-Dec-2014 00:00,0.0
08-Dec-2014 00:00,08-Dec-2014 01:00,0.0
08-Dec-2014 01:00,08-Dec-2014 02:00,0.0
08-Dec-2014 02:00,08-Dec-2014 03:00,0.0
08-Dec-2014 03:00,08-Dec-2014 04:00,0.0
08-Dec-2014 04:00,08-Dec-2014 05:00,0.0
08-Dec-2014 05:00,08-Dec-2014 06:00,0.0
08-Dec-2014 06:00,08-Dec-2014 07:00,0.0
08-Dec-2014 07:00,08-Dec-2014 08:00,0.0
08-Dec-2014 08:00,08-Dec-2014 09:00,0.0
08-Dec-2014 09:00,08-Dec-2014 10:00,58.0
08-Dec-2014 10:00,08-Dec-2014 11:00,226.0
08-Dec-2014 11:00,08-Dec-2014 12:00,0.0
08-Dec-2014 12:00,08-Dec-2014 13:00,1478.0
08-Dec-2014 13:00,08-Dec-2014 14:00,1347.0
08-Dec-2014 14:00,08-Dec-2014 15:00,703.0
08-Dec-2014 15:00,08-Dec-2014 16:00,671.0
08-Dec-2014 16:00,08-Dec-2014 17:00,481.0
08-Dec-2014 17:00,08-Dec-2014 18:00,404.0
08-Dec-2014 18:00,08-Dec-2014 19:00,805.0
08-Dec-2014 19:00,08-Dec-2014 20:00,377.0
08-Dec-2014 20:00,08-Dec-2014 21:00,17.0
08-Dec-2014 21:00,08-Dec-2014 22:00,0.0
08-Dec-2014 22:00,08-Dec-2014 23:00,0.0
08-Dec-2014 23:00,09-Dec-2014 00:00,0.0
09-Dec-2014 00:00,09-Dec-2014 01:00,0.0
09-Dec-2014 01:00,09-Dec-2014 02:00,0.0
09-Dec-2014 02:00,09-Dec-2014 03:00,0.0
09-Dec-2014 03:00,09-Dec-2014 04:00,0.0
09-Dec-2014 04:00,09-Dec-2014 05:00,0.0
09-Dec-2014 05:00,09-Dec-2014 06:00,0.0
09-Dec-2014 06:00,09-Dec-2014 07:00,0.0
09-Dec-2014 07:00,09-Dec-2014 08:00,0.0
09-Dec-2014 08:00,09-Dec-2014 09:00,233.0
09-Dec-2014 09:00,09-Dec-2014 10:00,241.107421978145
09-Dec-2014 10:00,09-Dec-2014 11:00,1396.89257802185
09-Dec-2014 11:00,09-Dec-2014 12:00,213.0
09-Dec-2014 12:00,09-Dec-2014 13:00,67.0
09-Dec-2014 13:00,09-Dec-2014 14:00,0.0
09-Dec-2014 14:00,09-Dec-2014 15:00,0.0
09-Dec-2014 15:00,09-Dec-2014 16:00,2655.19956405722
09-Dec-2014 16:00,09-Dec-2014 17:00,1832.80043594278
09-Dec-2014 17:00,09-Dec-2014 18:00,12.0
09-Dec-2014 18:00,09-Dec-2014 19:00,0.0
09-Dec-2014 19:00,09-Dec-2014 20:00,0.0
09-Dec-2014 20:00,09-Dec-2014 21:00,0.0
09-Dec-2014 21:00,09-Dec-2014 22:00,228.0
09-Dec-2014 22:00,09-Dec-2014 23:00,0.0
09-Dec-2014 23:00,10-Dec-2014 00:00,0.0
10-Dec-2014 00:00,10-Dec-2014 01:00,0.0
10-Dec-2014 01:00,10-Dec-2014 02:00,0.0
10-Dec-2014 02:00,10-Dec-2014 03:00,0.0
10-Dec-2014 03:00,10-Dec-2014 04:00,0.0
10-Dec-2014 04:00,10-Dec-2014 05:00,0.0
10-Dec-2014 05:00,10-Dec-2014 06:00,0.0
10-Dec-2014 06:00,10-Dec-2014 07:00,0.0
10-Dec-2014 07:00,10-Dec-2014 08:00,0.0
10-Dec-2014 08:00,10-Dec-2014 09:00,0.0
10-Dec-2014 09:00,10-Dec-2014 10:00,82.0
10-Dec-2014 10:00,10-Dec-2014 11:00,3533.0
10-Dec-2014 11:00,10-Dec-2014 12:00,157.0
10-Dec-2014 12:00,10-Dec-2014 13:00,167.0
10-Dec-2014 13:00,10-Dec-2014 14:00,261.0
10-Dec-2014 14:00,10-Dec-2014 15:00,0.0
10-Dec-2014 15:00,10-Dec-2014 16:00,0.0
10-Dec-2014 16:00,10-Dec-2014 17:00,0.0
10-Dec-2014 17:00,10-Dec-2014 18:00,160.0
10-Dec-2014 18:00,10-Dec-2014 19:00,3168.0
10-Dec-2014 19:00,10-Dec-2014 20:00,298.0
10-Dec-2014 20:00,10-Dec-2014 21:00,0.0
10-Dec-2014 21:00,10-Dec-2014 22:00,19.0
10-Dec-2014 22:00,10-Dec-2014 23:00,0.0
10-Dec-2014 23:00,11-Dec-2014 00:00,0.0
11-Dec-2014 00:00,11-Dec-2014 01:00,0.0
11-Dec-2014 01:00,11-Dec-2014 02:00,0.0
11-Dec-2014 02:00,11-Dec-2014 03:00,0.0
11-Dec-2014 03:00,11-Dec-2014 04:00,0.0
11-Dec-2014 04:00,11-Dec-2014 05:00,0.0
11-Dec-2014 05:00,11-Dec-2014 06:00,0.0
11-Dec-2014 06:00,11-Dec-2014 07:00,0.0
11-Dec-2014 07:00,11-Dec-2014 08:00,0.0
11-Dec-2014 08:00,11-Dec-2014 09:00,45.0
11-Dec-2014 09:00,11-Dec-2014 10:00,152.0
11-Dec-2014 10:00,11-Dec-2014 11:00,169.0
11-Dec-2014 11:00,11-Dec-2014 12:00,0.0
11-Dec-2014 12:00,11-Dec-2014 13:00,0.0
11-Dec-2014 13:00,11-Dec-2014 14:00,0.0
11-Dec-2014 14:00,11-Dec-2014 15:00,0.0
11-Dec-2014 15:00,11-Dec-2014 16:00,0.0
11-Dec-2014 16:00,11-Dec-2014 17:00,0.0
11-Dec-2014 17:00,11-Dec-2014 18:00,330.0
11-Dec-2014 18:00,11-Dec-2014 19:00,199.0
11-Dec-2014 19:00,11-Dec-2014 20:00,0.0
11-Dec-2014 20:00,11-Dec-2014 21:00,21.0
11-Dec-2014 21:00,11-Dec-2014 22:00,0.0
11-Dec-2014 22:00,11-Dec-2014 23:00,0.0
11-Dec-2014 23:00,12-Dec-2014 00:00,0.0
12-Dec-2014 00:00,12-Dec-2014 01:00,0.0
