Start,Finish,Steps (count)
28-Nov-2015 12:00,28-Nov-2015 13:00,13.0
28-Nov-2015 13:00,28-Nov-2015 14:00,19.0
28-Nov-2015 14:00,28-Nov-2015 15:00,33.0
28-Nov-2015 15:00,28-Nov-2015 16:00,80.0
28-Nov-2015 16:00,28-Nov-2015 17:00,0.0
28-Nov-2015 17:00,28-Nov-2015 18:00,0.0
28-Nov-2015 18:00,28-Nov-2015 19:00,0.0
28-Nov-2015 19:00,28-Nov-2015 20:00,0.0
28-Nov-2015 20:00,28-Nov-2015 21:00,0.0
28-Nov-2015 21:00,28-Nov-2015 22:00,0.0
28-Nov-2015 22:00,28-Nov-2015 23:00,0.0
28-Nov-2015 23:00,29-Nov-2015 00:00,0.0
29-Nov-2015 00:00,29-Nov-2015 01:00,0.0
29-Nov-2015 01:00,29-Nov-2015 02:00,0.0
29-Nov-2015 02:00,29-Nov-2015 03:00,0.0
29-Nov-2015 03:00,29-Nov-2015 04:00,0.0
29-Nov-2015 04:00,29-Nov-2015 05:00,0.0
29-Nov-2015 05:00,29-Nov-2015 06:00,0.0
29-Nov-2015 06:00,29-Nov-2015 07:00,6.22648354562135
29-Nov-2015 07:00,29-Nov-2015 08:00,72.19992501978
29-Nov-2015 08:00,29-Nov-2015 09:00,42.5735914345986
29-Nov-2015 09:00,29-Nov-2015 10:00,56.0
29-Nov-2015 10:00,29-Nov-2015 11:00,125.0
29-Nov-2015 11:00,29-Nov-2015 12:00,2235.53202716765
29-Nov-2015 12:00,29-Nov-2015 13:00,1167.46797283235
29-Nov-2015 13:00,29-Nov-2015 14:00,191.0
29-Nov-2015 14:00,29-Nov-2015 15:00,71.0
29-Nov-2015 15:00,29-Nov-2015 16:00,0.0
29-Nov-2015 16:00,29-Nov-2015 17:00,51.4962117270454
29-Nov-2015 17:00,29-Nov-2015 18:00,64.5037882729546
29-Nov-2015 18:00,29-Nov-2015 19:00,76.0
29-Nov-2015 19:00,29-Nov-2015 20:00,57.0
29-Nov-2015 20:00,29-Nov-2015 21:00,8.0
29-Nov-2015 21:00,29-Nov-2015 22:00,9.0
29-Nov-2015 22:00,29-Nov-2015 23:00,0.0
29-Nov-2015 23:00,30-Nov-2015 00:00,0.0
30-Nov-2015 00:00,30-Nov-2015 01:00,0.0
30-Nov-2015 01:00,30-Nov-2015 02:00,0.0
30-Nov-2015 02:00,30-Nov-2015 03:00,0.0
30-Nov-2015 03:00,30-Nov-2015 04:00,0.0
30-Nov-2015 04:00,30-Nov-2015 05:00,0.0
30-Nov-2015 05:00,30-Nov-2015 06:00,0.0
30-Nov-2015 06:00,30-Nov-2015 07:00,73.0
30-Nov-2015 07:00,30-Nov-2015 08:00,134.44763264544
30-Nov-2015 08:00,30-Nov-2015 09:00,450.55236735456
30-Nov-2015 09:00,30-Nov-2015 10:00,13.0
30-Nov-2015 10:00,30-Nov-2015 11:00,245.0
30-Nov-2015 11:00,30-Nov-2015 12:00,227.0
30-Nov-2015 12:00,30-Nov-2015 13:00,257.0
30-Nov-2015 13:00,30-Nov-2015 14:00,323.0
30-Nov-2015 14:00,30-Nov-2015 15:00,712.0
30-Nov-2015 15:00,30-Nov-2015 16:00,15.0
30-Nov-2015 16:00,30-Nov-2015 17:00,91.0
30-Nov-2015 17:00,30-Nov-2015 18:00,74.8660521262833
30-Nov-2015 18:00,30-Nov-2015 19:00,1498.13394787372
30-Nov-2015 19:00,30-Nov-2015 20:00,25.0
30-Nov-2015 20:00,30-Nov-2015 21:00,23.0
30-Nov-2015 21:00,30-Nov-2015 22:00,0.0
30-Nov-2015 22:00,30-Nov-2015 23:00,0.0
