Date,Hour,Steps
2020-10-18,0,1.0
2020-10-18,1,1.0
2020-10-18,2,1.0
2020-10-18,3,1.0
2020-10-18,4,1.0
2020-10-18,5,1.0
2020-10-18,6,1.0
2020-10-18,7,23.0
2020-10-18,8,2.0
2020-10-18,9,40.0
2020-10-18,10,26.0
2020-10-18,11,608.0
2020-10-18,12,1948.0
2020-10-18,13,14.0
2020-10-18,14,15.0
2020-10-18,15,15.0
2020-10-18,16,14.0
2020-10-18,17,15.0
2020-10-18,18,15.0
2020-10-18,19,14.0
2020-10-18,20,15.0
2020-10-18,21,11.0
2020-10-18,22,13.0
2020-10-18,23,0.0
2020-10-19,0,0.0
2020-10-19,1,0.0
2020-10-19,2,0.0
2020-10-19,3,0.0
2020-10-19,4,0.0
2020-10-19,5,0.0
2020-10-19,6,143.0
2020-10-19,7,0.0
2020-10-19,8,656.0
2020-10-19,9,9.0
2020-10-19,10,10.0
2020-10-19,11,9.0
2020-10-19,12,94.0
2020-10-19,13,74.0
2020-10-19,14,175.0
2020-10-19,15,35.0
2020-10-19,16,34.0
2020-10-19,17,39.0
2020-10-19,18,40.0
2020-10-19,19,28.0
2020-10-19,20,236.0
2020-10-19,21,603.0
2020-10-19,22,115.0
2020-10-19,23,10.0
2020-10-20,0,0.0
2020-10-20,1,0.0
2020-10-20,2,0.0
2020-10-20,3,0.0
2020-10-20,4,0.0
2020-10-20,5,0.0
2020-10-20,6,0.0
2020-10-20,7,16.0
2020-10-20,8,93.0
2020-10-20,9,3.0
2020-10-20,10,0.0
2020-10-20,11,0.0
2020-10-20,12,133.0
2020-10-20,13,2301.0
2020-10-20,14,12.0
2020-10-20,15,0.0
2020-10-20,16,0.0
2020-10-20,17,0.0
2020-10-20,18,7.0
2020-10-20,19,139.0
2020-10-20,20,88.0
2020-10-20,21,629.0
2020-10-20,22,0.0
2020-10-20,23,1.0
2020-10-21,0,0.0
2020-10-21,1,1.0
2020-10-21,2,1.0
2020-10-21,3,0.0
2020-10-21,4,1.0
2020-10-21,5,1.0
2020-10-21,6,0.0
2020-10-21,7,9.0
2020-10-21,8,721.0
2020-10-21,9,152.0
2020-10-21,10,0.0
2020-10-21,11,0.0
2020-10-21,12,50.0
2020-10-21,13,189.0
2020-10-21,14,0.0
2020-10-21,15,253.0
2020-10-21,16,0.0
2020-10-21,17,63.0
2020-10-21,18,0.0
2020-10-21,19,55.0
2020-10-21,20,0.0
2020-10-21,21,617.0
2020-10-21,22,11.0
2020-10-21,23,0.0
2020-10-22,0,0.0
2020-10-22,1,0.0
2020-10-22,2,0.0
2020-10-22,3,0.0
2020-10-22,4,0.0
2020-10-22,5,0.0
2020-10-22,6,22.0
2020-10-22,7,5.0
2020-10-22,8,631.0
2020-10-22,9,0.0
2020-10-22,10,0.0
2020-10-22,11,0.0
2020-10-22,12,21.0
2020-10-22,13,224.0
2020-10-22,14,0.0
2020-10-22,15,227.0
2020-10-22,16,0.0
2020-10-22,17,0.0
2020-10-22,18,1630.0
2020-10-22,19,0.0
2020-10-22,20,0.0
2020-10-22,21,8.0
2020-10-22,22,32.0
2020-10-22,23,0.0
2020-10-23,0,0.0
2020-10-23,1,0.0
2020-10-23,2,0.0
2020-10-23,3,0.0
2020-10-23,4,0.0
2020-10-23,5,0.0
2020-10-23,6,0.0
2020-10-23,7,46.0
2020-10-23,8,622.0
2020-10-23,9,0.0
2020-10-23,10,0.0
2020-10-23,11,0.0
2020-10-23,12,88.0
2020-10-23,13,170.0
2020-10-23,14,176.0
2020-10-23,15,41.0
2020-10-23,16,0.0
2020-10-23,17,99.0
2020-10-23,18,0.0
2020-10-23,19,346.0
2020-10-23,20,79.0
2020-10-23,21,0.0
2020-10-23,22,679.0
2020-10-23,23,0.0
2020-10-24,0,0.0
2020-10-24,1,0.0
2020-10-24,2,0.0
2020-10-24,3,0.0
2020-10-24,4,0.0
2020-10-24,5,0.0
2020-10-24,6,18.0
2020-10-24,7,979.0
2020-10-24,8,0.0
2020-10-24,9,168.0
2020-10-24,10,1640.0
2020-10-24,11,1736.0
2020-10-24,12,1590.0
2020-10-24,13,85.0
2020-10-24,14,32.0
2020-10-24,15,49.0
2020-10-24,16,160.0
2020-10-24,17,107.0
2020-10-24,18,42.0
2020-10-24,19,70.0
