Date,Hour,Steps
2015-11-28,12,13.0
2015-11-28,13,19.0
2015-11-28,14,33.0
2015-11-28,15,80.0
2015-11-28,16,0.0
2015-11-28,17,0.0
2015-11-28,18,0.0
2015-11-28,19,0.0
2015-11-28,20,0.0
2015-11-28,21,0.0
2015-11-28,22,0.0
2015-11-28,23,0.0
2015-11-29,0,0.0
2015-11-29,1,0.0
2015-11-29,2,0.0
2015-11-29,3,0.0
2015-11-29,4,0.0
2015-11-29,5,0.0
2015-11-29,6,6.22648354562135
2015-11-29,7,72.19992501978001
2015-11-29,8,42.573591434598605
2015-11-29,9,56.0
2015-11-29,10,125.0
2015-11-29,11,2235.53202716765
2015-11-29,12,1167.46797283235
2015-11-29,13,191.0
2015-11-29,14,71.0
2015-11-29,15,0.0
2015-11-29,16,51.496211727045406
2015-11-29,17,64.5037882729546
2015-11-29,18,76.0
2015-11-29,19,57.0
2015-11-29,20,8.0
2015-11-29,21,9.0
2015-11-29,22,0.0
2015-11-29,23,0.0
2015-11-30,0,0.0
2015-11-30,1,0.0
2015-11-30,2,0.0
2015-11-30,3,0.0
2015-11-30,4,0.0
2015-11-30,5,0.0
2015-11-30,6,73.0
2015-11-30,7,134.44763264544
2015-11-30,8,450.5523673545599
2015-11-30,9,13.0
2015-11-30,10,245.0
2015-11-30,11,227.0
2015-11-30,12,257.0
2015-11-30,13,323.0
2015-11-30,14,712.0
2015-11-30,15,15.0
2015-11-30,16,91.0
2015-11-30,17,74.8660521262833
2015-11-30,18,1498.1339478737198
2015-11-30,19,25.0
2015-11-30,20,23.0
2015-11-30,21,0.0
2015-11-30,22,0.0
2015-11-30,23,0.0
2015-12-01,0,0.0
2015-12-01,1,0.0
2015-12-01,2,0.0
2015-12-01,3,0.0
2015-12-01,4,0.0
2015-12-01,5,0.0
2015-12-01,6,18.0
2015-12-01,7,92.0
2015-12-01,8,840.0
2015-12-01,9,331.0
2015-12-01,10,716.0
2015-12-01,11,315.0
2015-12-01,12,401.0
2015-12-01,13,0.0
2015-12-01,14,270.0
2015-12-01,15,0.0
2015-12-01,16,0.0
2015-12-01,17,38.0
2015-12-01,18,68.0
2015-12-01,19,0.0
2015-12-01,20,120.0
2015-12-01,21,0.0
2015-12-01,22,0.0
2015-12-01,23,0.0
2015-12-02,0,0.0
2015-12-02,1,0.0
2015-12-02,2,0.0
2015-12-02,3,0.0
2015-12-02,4,0.0
2015-12-02,5,0.0
2015-12-02,6,25.0
2015-12-02,7,106.0
2015-12-02,8,142.0
2015-12-02,9,239.0
2015-12-02,10,0.0
2015-12-02,11,397.0
2015-12-02,12,376.804917341737
2015-12-02,13,999.1950826582629
2015-12-02,14,316.0
2015-12-02,15,24.0
2015-12-02,16,0.0
2015-12-02,17,50.0
2015-12-02,18,0.0
2015-12-02,19,41.0
2015-12-02,20,57.0
2015-12-02,21,0.0
2015-12-02,22,0.0
2015-12-02,23,0.0
2015-12-03,0,0.0
2015-12-03,1,0.0
2015-12-03,2,0.0
2015-12-03,3,0.0
2015-12-03,4,0.0
2015-12-03,5,0.0
2015-12-03,6,88.0
2015-12-03,7,59.0
2015-12-03,8,337.0
2015-12-03,9,304.0
2015-12-03,10,699.338195435012
2015-12-03,11,662.6618045649881
2015-12-03,12,1397.67753433735
2015-12-03,13,4691.0215101179
2015-12-03,14,3945.8934539834795
2015-12-03,15,636.407501561273
2015-12-03,16,0.0
2015-12-03,17,0.0
2015-12-03,18,0.0
2015-12-03,19,89.0
2015-12-03,20,0.0
2015-12-03,21,51.0
2015-12-03,22,0.0
2015-12-03,23,0.0
2015-12-04,0,0.0
2015-12-04,1,0.0
2015-12-04,2,0.0
2015-12-04,3,0.0
2015-12-04,4,0.0
2015-12-04,5,0.0
2015-12-04,6,24.0
2015-12-04,7,115.33654319382
2015-12-04,8,630.66345680618
2015-12-04,9,397.0
2015-12-04,10,105.0
2015-12-04,11,638.0
2015-12-04,12,382.0
2015-12-04,13,173.0
2015-12-04,14,1571.0297323535801
2015-12-04,15,766.9702676464219
2015-12-04,16,0.0
2015-12-04,17,123.0
2015-12-04,18,16.0
2015-12-04,19,40.0
2015-12-04,20,0.0
2015-12-04,21,0.0
2015-12-04,22,0.0
2015-12-04,23,0.0
2015-12-05,0,0.0
2015-12-05,1,0.0
2015-12-05,2,0.0
2015-12-05,3,0.0
2015-12-05,4,0.0
2015-12-05,5,0.0
2015-12-05,6,0.0
2015-12-05,7,57.0
2015-12-05,8,0.0
2015-12-05,9,949.0
2015-12-05,10,206.0
2015-12-05,11,17.0
2015-12-05,12,0.0
2015-12-05,13,72.0
2015-12-05,14,0.0
2015-12-05,15,1924.8698301525
2015-12-05,16,1969.1301698475
2015-12-05,17,0.0
2015-12-05,18,0.0
2015-12-05,19,126.0
2015-12-05,20,0.0
2015-12-05,21,70.0
2015-12-05,22,31.0
2015-12-05,23,0.0
2015-12-06,0,0.0
2015-12-06,1,0.0
2015-12-06,2,0.0
2015-12-06,3,0.0
2015-12-06,4,0.0
2015-12-06,5,0.0
2015-12-06,6,67.0
2015-12-06,7,40.0
2015-12-06,8,0.0
2015-12-06,9,10.0
2015-12-06,10,0.0
2015-12-06,11,20.0
2015-12-06,12,13.0
2015-12-06,13,58.0
2015-12-06,14,97.0
2015-12-06,15,21.0
2015-12-06,16,0.0
2015-12-06,17,0.0
2015-12-06,18,22.0
2015-12-06,19,22.0
2015-12-06,20,36.0
2015-12-06,21,0.0
2015-12-06,22,0.0
2015-12-06,23,0.0
2015-12-07,0,0.0
2015-12-07,1,0.0
2015-12-07,2,0.0
2015-12-07,3,0.0
2015-12-07,4,0.0
2015-12-07,5,0.0
2015-12-07,6,37.0
2015-12-07,7,272.345455381256
2015-12-07,8,464.65454461874396
2015-12-07,9,45.7081482095554
2015-12-07,10,215.29185179044498
2015-12-07,11,833.0
2015-12-07,12,279.0
2015-12-07,13,341.0
2015-12-07,14,985.653518472056
2015-12-07,15,1106.34648152794
2015-12-07,16,0.0
2015-12-07,17,8.0
2015-12-07,18,0.0
2015-12-07,19,0.0
2015-12-07,20,0.0
2015-12-07,21,0.0
2015-12-07,22,0.0
2015-12-07,23,0.0
2015-12-08,0,0.0
2015-12-08,1,0.0
2015-12-08,2,0.0
2015-12-08,3,0.0
2015-12-08,4,0.0
2015-12-08,5,0.0
2015-12-08,6,49.0
2015-12-08,7,588.0
2015-12-08,8,29.0
2015-12-08,9,1045.0
2015-12-08,10,2222.5797968191396
2015-12-08,11,2795.97868226541
2015-12-08,12,1705.4415209154502
2015-12-08,13,1858.0
2015-12-08,14,432.0
2015-12-08,15,141.03848465562598
2015-12-08,16,114.961515344374
2015-12-08,17,0.0
2015-12-08,18,0.0
2015-12-08,19,0.0
2015-12-08,20,0.0
2015-12-08,21,0.0
2015-12-08,22,0.0
2015-12-08,23,0.0
2015-12-09,0,0.0
2015-12-09,1,0.0
2015-12-09,2,0.0
2015-12-09,3,0.0
2015-12-09,4,0.0
2015-12-09,5,0.0
2015-12-09,6,0.0
2015-12-09,7,119.0
2015-12-09,8,723.0
2015-12-09,9,433.0
2015-12-09,10,348.0
2015-12-09,11,1283.0
2015-12-09,12,274.95835509433397
2015-12-09,13,336.04164490566603
2015-12-09,14,1487.83192528064
2015-12-09,15,1116.16807471936
2015-12-09,16,32.0
2015-12-09,17,70.0
2015-12-09,18,136.0
2015-12-09,19,77.0
2015-12-09,20,0.0
2015-12-09,21,0.0
2015-12-09,22,0.0
2015-12-09,23,0.0
2015-12-10,0,0.0
2015-12-10,1,0.0
2015-12-10,2,0.0
2015-12-10,3,0.0
2015-12-10,4,0.0
2015-12-10,5,0.0
2015-12-10,6,60.0
2015-12-10,7,110.0
2015-12-10,8,638.0
2015-12-10,9,260.0
2015-12-10,10,740.181478693754
2015-12-10,11,165.818521306246
2015-12-10,12,1383.9554655199
2015-12-10,13,4741.75227358341
2015-12-10,14,3841.7388995109704
2015-12-10,15,990.553361385717
2015-12-10,16,0.0
2015-12-10,17,33.0
2015-12-10,18,69.0
2015-12-10,19,0.0
2015-12-10,20,0.0
2015-12-10,21,0.0
2015-12-10,22,0.0
2015-12-10,23,0.0
2015-12-11,0,0.0
2015-12-11,1,0.0
2015-12-11,2,0.0
2015-12-11,3,0.0
2015-12-11,4,0.0
2015-12-11,5,0.0
2015-12-11,6,42.0
2015-12-11,7,71.0
2015-12-11,8,382.0
2015-12-11,9,66.0
2015-12-11,10,0.0
2015-12-11,11,275.0
2015-12-11,12,911.9939172611439
2015-12-11,13,706.0060827388561
2015-12-11,14,1657.77723767367
2015-12-11,15,724.2227623263291
2015-12-11,16,0.0
2015-12-11,17,25.0
2015-12-11,18,41.0
2015-12-11,19,0.0
2015-12-11,20,0.0
2015-12-11,21,0.0
2015-12-11,22,0.0
2015-12-11,23,0.0
2015-12-12,0,0.0
2015-12-12,1,0.0
2015-12-12,2,0.0
2015-12-12,3,0.0
2015-12-12,4,0.0
2015-12-12,5,0.0
2015-12-12,6,76.0
2015-12-12,7,35.0
2015-12-12,8,0.0
2015-12-12,9,0.0
2015-12-12,10,0.0
2015-12-12,11,0.0
2015-12-12,12,38.0
2015-12-12,13,42.0
2015-12-12,14,20.0
2015-12-12,15,0.0
2015-12-12,16,0.0
2015-12-12,17,66.0
2015-12-12,18,61.0
2015-12-12,19,0.0
2015-12-12,20,0.0
2015-12-12,21,12.0
2015-12-12,22,0.0
2015-12-12,23,0.0
2015-12-13,0,0.0
2015-12-13,1,0.0
2015-12-13,2,0.0
2015-12-13,3,0.0
2015-12-13,4,0.0
2015-12-13,5,0.0
2015-12-13,6,8.0
2015-12-13,7,30.0
2015-12-13,8,45.0
2015-12-13,9,0.0
2015-12-13,10,0.0
2015-12-13,11,0.0
2015-12-13,12,31.0
2015-12-13,13,148.0
2015-12-13,14,387.0
2015-12-13,15,0.0
2015-12-13,16,0.0
2015-12-13,17,0.0
2015-12-13,18,0.0
2015-12-13,19,0.0
2015-12-13,20,0.0
2015-12-13,21,0.0
2015-12-13,22,0.0
2015-12-13,23,0.0
2015-12-14,0,0.0
2015-12-14,1,0.0
2015-12-14,2,0.0
2015-12-14,3,0.0
2015-12-14,4,0.0
2015-12-14,5,0.0
2015-12-14,6,26.0
2015-12-14,7,134.0
2015-12-14,8,472.0
2015-12-14,9,0.0
2015-12-14,10,242.0
2015-12-14,11,265.0
2015-12-14,12,76.0
2015-12-14,13,406.0
