Date,Hour,Steps
2014-12-07,9,941.0
2014-12-07,10,408.0
2014-12-07,11,157.0
2014-12-07,12,1017.0
2014-12-07,13,0.0
2014-12-07,14,0.0
2014-12-07,15,137.0
2014-12-07,16,0.0
2014-12-07,17,33.0
2014-12-07,18,0.0
2014-12-07,19,0.0
2014-12-07,20,0.0
2014-12-07,21,0.0
2014-12-07,22,0.0
2014-12-07,23,0.0
2014-12-08,0,0.0
2014-12-08,1,0.0
2014-12-08,2,0.0
2014-12-08,3,0.0
2014-12-08,4,0.0
2014-12-08,5,0.0
2014-12-08,6,0.0
2014-12-08,7,0.0
2014-12-08,8,0.0
2014-12-08,9,58.0
2014-12-08,10,226.0
2014-12-08,11,0.0
2014-12-08,12,1478.0
2014-12-08,13,1347.0
2014-12-08,14,703.0
2014-12-08,15,671.0
2014-12-08,16,481.0
2014-12-08,17,404.0
2014-12-08,18,805.0
2014-12-08,19,377.0
2014-12-08,20,17.0
2014-12-08,21,0.0
2014-12-08,22,0.0
2014-12-08,23,0.0
2014-12-09,0,0.0
2014-12-09,1,0.0
2014-12-09,2,0.0
2014-12-09,3,0.0
2014-12-09,4,0.0
2014-12-09,5,0.0
2014-12-09,6,0.0
2014-12-09,7,0.0
2014-12-09,8,233.0
2014-12-09,9,241.107421978145
2014-12-09,10,1396.8925780218499
2014-12-09,11,213.0
2014-12-09,12,67.0
2014-12-09,13,0.0
2014-12-09,14,0.0
2014-12-09,15,2655.19956405722
2014-12-09,16,1832.80043594278
2014-12-09,17,12.0
2014-12-09,18,0.0
2014-12-09,19,0.0
2014-12-09,20,0.0
2014-12-09,21,228.0
2014-12-09,22,0.0
2014-12-09,23,0.0
2014-12-10,0,0.0
2014-12-10,1,0.0
2014-12-10,2,0.0
2014-12-10,3,0.0
2014-12-10,4,0.0
2014-12-10,5,0.0
2014-12-10,6,0.0
2014-12-10,7,0.0
2014-12-10,8,0.0
2014-12-10,9,82.0
2014-12-10,10,3533.0
2014-12-10,11,157.0
2014-12-10,12,167.0
2014-12-10,13,261.0
2014-12-10,14,0.0
2014-12-10,15,0.0
2014-12-10,16,0.0
2014-12-10,17,160.0
2014-12-10,18,3168.0
2014-12-10,19,298.0
2014-12-10,20,0.0
2014-12-10,21,19.0
2014-12-10,22,0.0
2014-12-10,23,0.0
2014-12-11,0,0.0
2014-12-11,1,0.0
2014-12-11,2,0.0
2014-12-11,3,0.0
2014-12-11,4,0.0
2014-12-11,5,0.0
2014-12-11,6,0.0
2014-12-11,7,0.0
2014-12-11,8,45.0
2014-12-11,9,152.0
2014-12-11,10,169.0
2014-12-11,11,0.0
2014-12-11,12,0.0
2014-12-11,13,0.0
2014-12-11,14,0.0
2014-12-11,15,0.0
2014-12-11,16,0.0
2014-12-11,17,330.0
2014-12-11,18,199.0
2014-12-11,19,0.0
2014-12-11,20,21.0
2014-12-11,21,0.0
2014-12-11,22,0.0
2014-12-11,23,0.0
2014-12-12,0,0.0
2014-12-12,1,0.0
2014-12-12,2,0.0
2014-12-12,3,0.0
2014-12-12,4,0.0
2014-12-12,5,0.0
2014-12-12,6,0.0
2014-12-12,7,0.0
2014-12-12,8,0.0
2014-12-12,9,397.0
2014-12-12,10,0.0
2014-12-12,11,998.0
2014-12-12,12,0.0
2014-12-12,13,175.0
2014-12-12,14,0.0
2014-12-12,15,91.5391614739418
2014-12-12,16,1171.11955011858
2014-12-12,17,1086.34128840748
2014-12-12,18,1115.0
2014-12-12,19,549.0
2014-12-12,20,112.0
2014-12-12,21,148.0
2014-12-12,22,135.0
2014-12-12,23,0.0
2014-12-13,0,0.0
2014-12-13,1,0.0
2014-12-13,2,0.0
2014-12-13,3,0.0
2014-12-13,4,0.0
2014-12-13,5,0.0
2014-12-13,6,0.0
2014-12-13,7,0.0
2014-12-13,8,0.0
2014-12-13,9,0.0
2014-12-13,10,0.0
2014-12-13,11,66.0
2014-12-13,12,2139.0
2014-12-13,13,2657.0
2014-12-13,14,3072.0
2014-12-13,15,109.0
2014-12-13,16,88.0
2014-12-13,17,0.0
2014-12-13,18,0.0
2014-12-13,19,0.0
2014-12-13,20,0.0
2014-12-13,21,0.0
2014-12-13,22,0.0
2014-12-13,23,0.0
2014-12-14,0,0.0
2014-12-14,1,0.0
2014-12-14,2,0.0
2014-12-14,3,0.0
2014-12-14,4,0.0
2014-12-14,5,0.0
2014-12-14,6,0.0
2014-12-14,7,0.0
2014-12-14,8,0.0
2014-12-14,9,38.0
2014-12-14,10,0.0
2014-12-14,11,1845.0
2014-12-14,12,2391.0
2014-12-14,13,0.0
2014-12-14,14,1026.0
2014-12-14,15,1119.0
2014-12-14,16,1039.0
2014-12-14,17,33.0
2014-12-14,18,40.0
2014-12-14,19,0.0
2014-12-14,20,18.0
2014-12-14,21,0.0
2014-12-14,22,0.0
2014-12-14,23,0.0
2014-12-15,0,0.0
2014-12-15,1,0.0
2014-12-15,2,0.0
2014-12-15,3,0.0
2014-12-15,4,0.0
2014-12-15,5,0.0
2014-12-15,6,0.0
2014-12-15,7,0.0
2014-12-15,8,0.0
2014-12-15,9,124.0
2014-12-15,10,311.0
2014-12-15,11,0.0
2014-12-15,12,295.0
2014-12-15,13,1359.0
2014-12-15,14,158.0
2014-12-15,15,0.0
2014-12-15,16,0.0
2014-12-15,17,268.0
2014-12-15,18,87.0
2014-12-15,19,566.0
2014-12-15,20,0.0
2014-12-15,21,21.0
2014-12-15,22,0.0
2014-12-15,23,0.0
2014-12-16,0,0.0
2014-12-16,1,0.0
2014-12-16,2,0.0
2014-12-16,3,0.0
2014-12-16,4,0.0
2014-12-16,5,0.0
2014-12-16,6,0.0
2014-12-16,7,164.0
2014-12-16,8,153.0
2014-12-16,9,113.0
2014-12-16,10,613.0
2014-12-16,11,0.0
2014-12-16,12,0.0
2014-12-16,13,524.0
2014-12-16,14,2446.0
2014-12-16,15,341.0
2014-12-16,16,0.0
2014-12-16,17,382.0
2014-12-16,18,220.0
2014-12-16,19,0.0
2014-12-16,20,0.0
2014-12-16,21,0.0
2014-12-16,22,0.0
2014-12-16,23,0.0
2014-12-17,0,0.0
2014-12-17,1,0.0
2014-12-17,2,0.0
2014-12-17,3,0.0
2014-12-17,4,0.0
2014-12-17,5,0.0
2014-12-17,6,0.0
2014-12-17,7,0.0
2014-12-17,8,0.0
2014-12-17,9,34.0
2014-12-17,10,480.0
2014-12-17,11,705.0
2014-12-17,12,714.0
2014-12-17,13,511.0
2014-12-17,14,764.0
2014-12-17,15,10.0
2014-12-17,16,654.0
2014-12-17,17,270.0
2014-12-17,18,631.0
2014-12-17,19,1562.31078718574
2014-12-17,20,707.689212814263
2014-12-17,21,119.0
2014-12-17,22,30.0
2014-12-17,23,0.0
2014-12-18,0,0.0
2014-12-18,1,0.0
2014-12-18,2,0.0
2014-12-18,3,0.0
2014-12-18,4,0.0
2014-12-18,5,0.0
2014-12-18,6,0.0
2014-12-18,7,0.0
2014-12-18,8,0.0
2014-12-18,9,0.0
2014-12-18,10,0.0
2014-12-18,11,0.0
2014-12-18,12,0.0
2014-12-18,13,0.0
2014-12-18,14,0.0
2014-12-18,15,0.0
2014-12-18,16,0.0
2014-12-18,17,0.0
2014-12-18,18,0.0
2014-12-18,19,0.0
2014-12-18,20,0.0
2014-12-18,21,0.0
2014-12-18,22,0.0
2014-12-18,23,0.0
2014-12-19,0,0.0
2014-12-19,1,0.0
2014-12-19,2,0.0
2014-12-19,3,0.0
2014-12-19,4,0.0
2014-12-19,5,0.0
2014-12-19,6,0.0
2014-12-19,7,0.0
2014-12-19,8,0.0
2014-12-19,9,0.0
2014-12-19,10,0.0
2014-12-19,11,0.0
2014-12-19,12,0.0
2014-12-19,13,0.0
2014-12-19,14,0.0
2014-12-19,15,0.0
2014-12-19,16,50.0
2014-12-19,17,158.0
2014-12-19,18,374.0
2014-12-19,19,103.0
2014-12-19,20,0.0
2014-12-19,21,0.0
2014-12-19,22,0.0
2014-12-19,23,90.0
2014-12-20,0,83.0
2014-12-20,1,0.0
2014-12-20,2,0.0
2014-12-20,3,0.0
2014-12-20,4,0.0
2014-12-20,5,0.0
2014-12-20,6,0.0
2014-12-20,7,0.0
2014-12-20,8,0.0
2014-12-20,9,1643.0
2014-12-20,10,1783.0
2014-12-20,11,0.0
2014-12-20,12,302.0
2014-12-20,13,1780.0
2014-12-20,14,1368.0
2014-12-20,15,223.0
2014-12-20,16,22.0
2014-12-20,17,0.0
2014-12-20,18,0.0
2014-12-20,19,0.0
2014-12-20,20,0.0
2014-12-20,21,0.0
2014-12-20,22,0.0
2014-12-20,23,0.0
2014-12-21,0,0.0
2014-12-21,1,0.0
2014-12-21,2,0.0
2014-12-21,3,0.0
2014-12-21,4,0.0
2014-12-21,5,0.0
2014-12-21,6,0.0
2014-12-21,7,0.0
2014-12-21,8,0.0
2014-12-21,9,0.0
2014-12-21,10,303.0
2014-12-21,11,15.0
2014-12-21,12,1004.0
2014-12-21,13,83.0
2014-12-21,14,0.0
2014-12-21,15,200.0
2014-12-21,16,0.0
2014-12-21,17,193.0
2014-12-21,18,158.0
2014-12-21,19,0.0
2014-12-21,20,0.0
2014-12-21,21,0.0
2014-12-21,22,0.0
2014-12-21,23,0.0
2014-12-22,0,0.0
2014-12-22,1,0.0
2014-12-22,2,0.0
2014-12-22,3,0.0
2014-12-22,4,0.0
2014-12-22,5,0.0
2014-12-22,6,0.0
2014-12-22,7,0.0
2014-12-22,8,0.0
2014-12-22,9,0.0
2014-12-22,10,1332.0
2014-12-22,11,3678.0
2014-12-22,12,733.0
2014-12-22,13,1678.0
2014-12-22,14,0.0
2014-12-22,15,160.0
2014-12-22,16,0.0
2014-12-22,17,222.0
2014-12-22,18,33.0
2014-12-22,19,0.0
2014-12-22,20,19.0
2014-12-22,21,0.0
2014-12-22,22,0.0
2014-12-22,23,0.0
2014-12-23,0,0.0
2014-12-23,1,0.0
2014-12-23,2,0.0
2014-12-23,3,0.0
2014-12-23,4,0.0
2014-12-23,5,0.0
2014-12-23,6,0.0
2014-12-23,7,0.0
2014-12-23,8,0.0
2014-12-23,9,0.0
2014-12-23,10,1083.0
2014-12-23,11,580.536780501216
2014-12-23,12,498.46321949878404
2014-12-23,13,2133.0
2014-12-23,14,30.0
2014-12-23,15,0.0
2014-12-23,16,0.0
2014-12-23,17,0.0
2014-12-23,18,0.0
2014-12-23,19,0.0
2014-12-23,20,16.0
2014-12-23,21,0.0
2014-12-23,22,0.0
2014-12-23,23,0.0
2014-12-24,0,0.0
2014-12-24,1,0.0
2014-12-24,2,0.0
2014-12-24,3,0.0
2014-12-24,4,0.0
2014-12-24,5,0.0
